5,8
6,11
20,16
21,16
22,16
23,16
24,22
25,23
26,23
27,24
28,24
29,25
30,25
31,25
32,9
33,10
34,26
35,27
36,25
37,10
38,22
39,22
40,26
41,9
42,8
43,28
44,16
45,16
46,16
47,16
48,16
49,16
50,22
51,22
52,29
53,16
54,30
55,16
56,16
57,31
58,32
59,10
60,10
61,33
62,24
63,8
64,34
65,35
66,34
67,36
68,30
69,16
70,37
71,16
72,38
73,39
74,16
75,37
76,26
77,40
78,41
79,42
80,9
81,9
82,43
83,43
84,44
85,45
86,31
87,22
88,9
89,24
90,24
91,8
92,22
93,9
94,46
95,47
96,16
97,48
98,22
99,49
100,50
101,46
102,46
103,22
104,26
105,51
106,24
107,29
108,52
109,16
110,23
111,34
112,53
113,24
114,37
115,50
116,46
117,54
118,52
119,23
120,22
121,16
122,16
123,24
124,49
125,22
126,55
127,56
128,36
129,44
130,9
131,23
132,46
133,57
134,58
135,10
136,59
137,49
138,23
139,16
140,9
141,49
142,49
143,22
144,23
145,50
146,49
147,49
148,60
149,43
150,50
151,48
152,28
153,22
154,28
155,61
156,43
157,36
158,16
159,29
160,29
161,24
162,62
163,40
164,52
165,16
166,23
167,9
168,22
169,26
170,63
171,16
172,59
173,36
174,41
175,49
176,49
177,32
178,29
179,36
180,37
181,47
182,36
183,58
184,16
185,26
186,8
187,23
188,8
189,22
190,16
191,22
192,50
193,29
194,9
195,9
196,55
197,16
198,29
199,40
200,47
201,37
202,36
203,38
204,64
205,57
206,40
207,10
208,65
209,66
210,24
211,67
212,34
213,36
214,16
215,36
216,46
217,50
218,24
219,68
220,47
221,69
222,70
223,23
224,49
225,71
226,16
227,22
228,26
229,60
230,49
231,16
232,29
233,65
234,49
235,23
236,56
237,49
238,72
239,34
240,49
241,16
242,9
243,49
244,23
245,67
246,34
247,49
248,44
249,37
250,49
251,40
252,37
253,40
254,35
255,52
256,49
257,52
258,73
259,16
260,51
261,74
262,49
263,37
264,23
265,29
266,32
267,46
268,50
269,75
270,37
271,53
272,28
273,8
274,23
275,22
276,49
277,49
278,36
279,16
280,30
281,29
282,23
283,51
284,49
285,16
286,38
287,34
288,16
289,49
290,49
291,49
292,47
293,76
294,37
295,49
296,49
297,68
298,51
299,50
300,9
301,23
302,8
303,73
304,50
305,47
306,74
307,77
308,47
309,69
310,78
311,9
312,16
313,16
314,50
315,79
316,8
317,49
318,22
319,16
320,16
321,80
322,80
323,29
324,49
325,81
326,67
327,49
328,65
329,39
330,49
331,37
332,51
333,82
334,83
335,58
336,68
337,84
338,36
339,85
340,10
341,45
342,30
343,40
344,9
345,10
346,47
347,49
348,54
349,49
350,22
351,85
352,57
353,49
354,84
355,22
356,23
357,26
358,86
359,65
360,16
361,10
362,37
363,87
364,26
365,62
366,37
367,49
368,47
369,23
370,24
371,88
372,22
373,65
374,89
375,49
376,71
377,38
378,32
379,71
380,9
381,32
382,16
383,80
384,78
385,39
386,16
387,49
388,16
389,9
390,37
391,78
392,45
393,62
394,10
395,37
396,28
397,90
398,16
399,23
400,28
401,23
402,49
403,90
404,37
405,8
406,78
407,49
408,78
409,10
410,11
411,91
412,74
413,32
414,89
415,43
416,72
417,16
418,65
419,80
420,52
421,84
422,37
423,46
424,80
425,22
426,49
427,9
428,68
429,84
430,47
431,49
432,29
433,49
434,49
435,45
436,37
437,49
438,81
439,28
440,22
441,47
442,37
443,8
444,9
445,22
446,49
447,26
448,8
449,92
450,32
451,80
452,49
453,93
454,51
455,78
456,41
457,29
458,45
459,36
460,40
461,80
462,78
463,37
464,78
465,94
466,78
467,95
468,32
469,37
470,69
471,46
472,57
473,49
474,49
475,52
476,37
477,32
478,37
479,96
480,97
481,67
482,30
483,67
484,16
485,82
486,40
487,37
488,22
489,82
490,8
491,93
