1,After Colony
2,Anno Domini
3,Advanced Generation
4,After War
5,Build Fighter
6,Correct Century
7,Cosmic Era
8,Future Century
9,Gunpla Builder
10,Mars Century
11,Post Disaster
12,Universal Century
