73,14,MS-06S Zaku II (Char Aznable Custom) Ver.2.0 Gunpla 30th Anniversary Ver.,,2009-12-01,3500,,,,Limited re-release of MG-098 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
74,14,MS-07B Gouf Ver.2.0 Gunpla 30th Anniversary Ver.,,2009-12-01,3800,,,,Limited re-release of MG-120 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
75,14,MS-14S Gelgoog (Char Aznable Custom) Ver.2.0 Gunpla 30th Anniversary Ver.,,2009-12-01,4500,,,,Limited re-release of MG-099 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
76,14,MSM-04 Acguy Gunpla 30th Anniversary Ver.,,2009-12-01,4000,,,,Limited re-release of MG-080 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
77,14,MSM-07S Z'Gok (Char Aznable Custom) Gunpla 30th Anniversary Ver.,,2009-12-01,3000,,,,Limited re-release of MG-066 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
78,14,MSN-00100 Hyaku-Shiki Gunpla 30th Anniversary Ver.,,2009-12-01,4500,,,,Limited re-release of MG-037 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
79,14,MSN-00100 Hyaku-Shiki HD Color,,2009-02-01,4800,,,,"Limited metallic color variant of MG-037, not chrome plated unlike the original kit. Includes water slide decal sheet. Released to coincide with the Blu-ray release of the Zeta Gundam TV series.",12
80,14,MSZ-006 Zeta Gundam Ver.2.0 Gunpla 30th Anniversary Ver.,,2009-12-01,5000,,,,Limited re-release of MG-083 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
81,14,MSZ-006 Zeta Gundam Ver.2.0 HD Color,,2009-01-01,5000,,,,Limited gloss color variant of MG-083. Includes water slide decal sheet. Released to coincide with the Blu-ray release of the Zeta Gundam TV series. Fully transformable kit.,12
82,14,MSZ-010 ΖΖ Gundam Gunpla 30th Anniversary Ver.,,2009-12-01,4000,,,,Limited re-release of MG-026 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
83,14,RGM-79 GM Ver.2.0 Gunpla 30th Anniversary Ver.,,2009-12-01,3500,,,,Limited re-release of MG-118 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
84,14,RX-0 Unicorn Gundam "Ver.Ka" Titanium Finish,,2009-04-01,8000,,,,Special metallic color variant of MG-102. Includes water slide decal sheet.,12
85,14,RX-178 Gundam Mk-II (A.E.U.G.) Ver.2.0 Gunpla 30th Anniversary Ver.,,2009-12-01,4000,,,,Limited re-release of MG-082 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
86,14,RX-77-2 Guncannon Gunpla 30th Anniversary Ver.,,2009-12-01,3000,,,,Limited re-release of MG-045 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
87,14,RX-78-2 Gundam Ver.2.0 Gunpla 30th Anniversary Ver.,,2009-12-01,4200,,,,Limited re-release of MG-111 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
88,14,RX-93 ν Gundam Gunpla 30th Anniversary Ver.,,2009-12-01,5000,,,,Limited re-release of MG-034 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
89,14,Shin Musha Gundam Sengoku no Jin,,2009-03-01,8000,,,,Special re-release of MG-110 with diorama base and weapon racks.,12
90,14,XXXG-00W0 Wing Gundam Zero Gunpla 30th Anniversary Ver.,,2009-12-01,3800,,,,Limited re-release of MG-075 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
91,14,ZGMF-X10A Freedom Gundam Gunpla 30th Anniversary Ver.,,2009-12-01,3800,,,,Limited re-release of MG-072 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
92,14,ZGMF-X19A ∞ Justice Gundam Gunpla 30th Anniversary Ver.,,2009-12-01,5000,,,,Limited re-release of MG-114 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
93,14,ZGMF-X20A Strike Freedom Gundam Gunpla 30th Anniversary Ver.,,2009-12-01,4800,,,,Limited re-release of MG-093 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
94,14,ZGMF-X42S Destiny Gundam Gunpla 30th Anniversary Ver.,,2009-12-01,4800,,,,Limited re-release of MG-101 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
95,14,ZGMF-X56S/α Force Impulse Gundam Gunpla 30th Anniversary Ver.,,2009-12-01,4500,,,,Limited re-release of MG-109 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
96,14,GAT-X105 Aile Strike Gundam Gunpla 30th Anniversary Ver.,,2010-03-01,3800,,,,Limited re-release of MG-065 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
97,14,GAT-X105E Strike Noir Gundam Gunpla 30th Anniversary Ver.,,2010-03-01,4500,,,,Limited re-release of MG-096 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
98,14,GF13-017NJII G Gundam Gunpla 30th Anniversary Ver.,,2010-03-01,2500,,,,Limited re-release of MG-044 with clear armor parts. Released to commemorate the 30th anniversary of Gunpla.,12
99,14,GN-001 Gundam Exia (Trans-Am Mode),,2010-02-01,5800,,,,Color variant of MG-123.,12
