154,LM312V04(B-part)+SD-VB03A Core Booster "Ver.Ka,
155,PF-78-3A Gundam Amazing Red Warrior,
156,GN-0000GNHW/7SG 00 Gundam Seven Sword/G,
157,RGM-79G GM Command,
158,RGM-79 GM,
159,MS-09G Dwadge,
160,AMX-004G Qubeley Mass Production Type,
161,GF13-011NC Dragon Gundam,
162,MSN-06S-2 Sinanju Stein (Narrative Ver.),
163,PPGN-001 Gundam Exia Dark Matter,
164,F90 Gundam F90,
165,MS-06J Zaku II Ground Type,
166,RGM-79C GM Type C,
167,GAT-X303 Aegis Gundam,
168,AMX-004 Qubeley,
169,AMS-119 Geara Doga,
170,MS-09RS Rick-Dom (Char Custom),
171,MSN-02 Zeong,
172,GX-9901-DX Gundam Double X,
173,RX-78NT-1 Gundam NT-1 Ver.2.0,
174,GNX-604T Advanced GN-X,
175,MS-06R-2 Zaku II (Johnny Ridden Custom) Ver.2.0,
176,MS-06R-1 Zaku II (Shin Matsunaga Custom),
177,XXXG-00W0 Wing Gundam Zero EW "Ver.Ka,
178,MSZ-010 ZZ Gundam "Ver.Ka,
179,RX-77D Guncannon Mass Production Type,
180,RX-0 Full Armor Unicorn Gundam "Ver.Ka,
181,XXXG-01S Shenlong Gundam EW,
182,MS-09R-2 Rick Dom II,
183,XXXG-01W Wing Gundam,
184,MSM-03 Gogg,
185,MSN-04 Sazabi "Ver.Ka,
186,GN-0000+GNR-010 00 Raiser,
187,MS-06F-2 Zaku II F2 (E.F.S.F),
188,GNX-603T GN-X,
189,RMS-106 Hi-Zack,
190,RGM-79 GM Ver.1.5,
191,RMS-108 Marasai,
192,AGE-3 Gundam AGE-3 Normal,
193,AMX-004-2 Qubeley Mk-II (Elpeo Ple Custom),
194,GAT-X105 Aile Strike Gundam Ver.RM,
195,MBF-02 Strike Rouge,
196,MSR-00100 Hyaku Shiki Kai,
197,MS-09R Rick-Dom,
198,MS-09H Dwadge Custom,
199,侍ノ弐 Sengoku Astray Gundam,
200,OZ-13MS Gundam Epyon EW,
201,RGZ-95 ReZEL,
202,RGM-79SP GM Sniper II,
203,MSN-04II Nightingale,
204,RX-78GP04G Gundam GP04G,
205,RX-79BD-1 Blue Destiny Unit 1,
206,UB-01 Universe Booster,
207,ZGMF-1000/A1 Gunner ZAKU Warrior (Lunamaria Hawke Custom),
208,XM-X1 Crossbone Gundam X1 "Ver.Ka,
209,XXXG-00W0 Wing Gundam Proto Zero EW,
210,GF13-001NH Kowloon Gundam,
211,MS-06R Zaku II High Mobility Type "Psycho Zaku" [Gundam Thunderbolt] "Ver.Ka,
212,RGM-79[G] GM Sniper,
213,Gundam RX-78 NT-1,
214,RX-78-2 Gundam Ver.Ka,
215,MS-14Jg Gelgoog Jäger,
216,FA-010-A FAZZ,
217,Gundam AGE-1 Normal,
218,GF13-006NA Gundam Maxter,
219,WD-M01 ∀ Gundam,
220,XXXG-01D Gundam Deathscythe EW,
221,MSN-06S Sinanju Stein "Ver.Ka,
222,MBF-02+EW454F Strike Rouge + Ootori Ver.RM,
223,RGM-79C GM Type C (Earth Type),
224,MS-06R-1A Zaku II (Black Tri-Stars) Ver.2.0,
225,MBF-P03D Gundam Astray Blue Frame D,
226,MS-14A Gelgoog,
227,MSN-00100 Hyaku-Shiki + Ballute Pack,
228,RGZ-91 Re-GZ,
229,MS-08TX Efreet,
230,RGC-80 GM Cannon,
231,MS-09R Rick Dom,
232,RGM-86R GM III,
233,F91 Gundam F91 (Harrison Madin Custom),
234,RGM-79SC GM Sniper Custom,
235,MS-06F2 Zaku II F2,
236,MSN-02 Perfect Zeong,
237,MS-06F Zaku Minelayer,
238,MS-06J Zaku II "White Ogre,
239,Gundam Ez8,
240,RX-78-3 Gundam Ver.2.0,
241,G Fighter,
242,Launcher,
243,MS-06R-2 Johnny Ridden's Zaku High Mobility,
244,RGM-79 Powered GM,
245,FA-78 Full Armor Gundam [Gundam Thunderbolt] "Ver.Ka,
246,RGM-79[G] GM,
247,FA-78-1 Full Armor Gundam Ver.Ka,
248,GNT-0000 00 Qan[T],
249,MSN-06S Sinanju (OVA Ver.),
250,MS-06E Zaku Reconnaissance Type,
251,XXXG-01Wfr Gundam Fenice Rinascita,
252,MSN-001A1 Delta Plus,
253,RX-178B Build Gundam Mk-II,
254,MBF-P03R Gundam Astray Blue Frame Second Revise,
255,A-Type,
